country_code,country_name,year,gdp_per_capita,energy_kwh_per_capita,co2_per_capita,renewable_pct,population,water_stress_pct,ai_expansion_index,sustainability_score
FJI,Fiji,2019,5842.07344577597,,1.76959423936413,26.5,914899,0.297373029772329,,67.0
FJI,Fiji,2020,4620.6457238014,,1.17414583977713,31.8,914963,0.297373029772329,,70.31
FJI,Fiji,2021,4536.73312110335,,1.46469279849375,29.7,916711,0.297373029772329,,68.89
FJI,Fiji,2022,5414.12092119088,,1.56000182723494,28.4,919422,0.297373029772329,,68.18
FJI,Fiji,2023,5926.20586394763,,1.55581645737411,,924145,,,58.89
FRA,France,2015,36702.4323733379,7208.30136656291,4.99116340691761,13.3,66548272,14.058,0.5873269780285053,52.53
FRA,France,2016,37024.2157133669,7276.87553511397,5.01727531627851,14.2,66724104,13.218,0.5901586531971103,53.0
FRA,France,2017,38687.1626407164,7229.03935292766,5.06155143263354,14.1,66918020,13.473,0.5732088114839095,52.82
FRA,France,2018,41418.1766484844,7156.81690085647,4.89217066506758,15.2,67158348,13.461462155,0.6090415063409556,53.6
FRA,France,2019,40408.2848574751,7059.07466974036,4.79214044818249,15.5,67382061,13.106043065,0.5530366518197488,53.99
FRA,France,2020,39169.8606000707,6685.6150734803,4.24677642127474,16.8,67601110,12.33577599,0.6025655160462844,55.76
FRA,France,2021,43725.0999521245,6950.69961060428,4.66820869200128,16.2,67842811,12.2138298,0.6049675944662926,54.7
FRA,France,2022,40988.6396406579,6649.38931756837,4.51246828877731,,68184457,12.2138298,0.5705636933401821,56.53
FRA,France,2023,44700.1384177544,6415.02611160317,4.15598361008436,,68372286,,0.6377717217921994,53.69
FRO,Faroe Islands,2015,52637.1903526574,,0.0409006319147631,7.5,48899,,,56.92
FRO,Faroe Islands,2016,56875.2803813296,,0.0404334465469837,6.3,49464,,,56.44
FRO,Faroe Islands,2017,59387.353086482,,0.0398565165404544,6.0,50180,,,56.32
FRO,Faroe Islands,2018,62526.4908515743,,0.0411797003686564,5.9,50996,,,56.28
FRO,Faroe Islands,2019,63068.2872688483,,0.0405468025949954,5.4,51792,,,56.08
FRO,Faroe Islands,2020,62243.1905561324,,0.0399505374298488,5.3,52565,,,56.04
FRO,Faroe Islands,2021,69415.1853254579,,0.0394025818072651,5.1,53296,,,55.96
FRO,Faroe Islands,2022,67058.2022648126,,0.038952366820003,7.9,53912,,,57.08
FRO,Faroe Islands,2023,72465.3769660215,,0.0385930091520565,,54414,,,61.92
FSM,"Micronesia, Fed. Sts.",2015,2853.07643587028,,0.0018396556164686,1.7,108716,,,54.68
FSM,"Micronesia, Fed. Sts.",2016,2979.60119184048,,0.00183360073344029,1.9,109075,,,54.76
FSM,"Micronesia, Fed. Sts.",2017,3279.10779039285,,0.00182680099743334,1.7,109481,,,54.68
FSM,"Micronesia, Fed. Sts.",2018,3566.58690371125,,0.00181968719577105,2.0,109909,,,54.8
